Date,Value,Data_Quality,Source_Date
2020-01-31,126.2353,OK,2020-01-31
2020-02-28,125.4702,OK,2020-02-29
2020-03-31,124.7051,OK,2020-03-31
2020-04-30,125.8527,OK,2020-04-30
2020-05-29,126.2353,OK,2020-05-31
2020-06-30,127.0003,OK,2020-06-30
2020-07-31,128.5304,OK,2020-07-31
2020-08-31,129.2955,OK,2020-08-31
2020-09-30,130.1179,OK,2020-09-30
2020-10-30,131.6603,OK,2020-10-31
2020-11-30,132.101,OK,2020-11-30
2020-12-31,130.8891,OK,2020-12-31
2021-01-29,130.22799999999998,OK,2021-01-31
2021-02-26,131.1094,OK,2021-02-28
2021-03-31,131.7705,OK,2021-03-31
2021-04-30,132.3214,OK,2021-04-30
2021-05-31,132.8723,OK,2021-05-31
2021-06-30,134.0842,OK,2021-06-30
2021-07-30,135.2961,OK,2021-07-31
2021-08-31,135.5165,OK,2021-08-31
2021-09-30,135.847,OK,2021-09-30
2021-10-29,137.6098,OK,2021-10-31
2021-11-30,138.4912,OK,2021-11-30
2021-12-31,138.1607,OK,2021-12-31
2022-01-31,137.8302,OK,2022-01-31
2022-02-28,137.72,OK,2022-02-28
2022-03-31,138.8218,OK,2022-03-31
2022-04-29,140.6947,OK,2022-04-30
2022-05-31,142.127,OK,2022-05-31
2022-06-30,142.3474,OK,2022-06-30
2022-07-29,143.1186,OK,2022-07-31
2022-08-31,143.4492,OK,2022-08-31
2022-09-30,144.6611,OK,2022-09-30
2022-10-31,145.9832,OK,2022-10-31
2022-11-30,145.9832,OK,2022-11-30
2022-12-30,145.7628,OK,2022-12-31
2023-01-31,146.3137,OK,2023-01-31
2023-02-28,146.2036,OK,2023-02-28
2023-03-31,146.8646,OK,2023-03-31
2023-04-28,147.8562,OK,2023-04-30
2023-05-31,148.4071,OK,2023-05-31
2023-06-30,150.2801,OK,2023-06-30
2023-07-31,153.9159,OK,2023-07-31
2023-08-31,153.365,OK,2023-08-31
2023-09-29,151.492,OK,2023-09-30
2023-10-31,152.4836,OK,2023-10-31
2023-11-30,153.2548,OK,2023-11-30
2023-12-29,152.9243,OK,2023-12-31
2024-01-31,153.0345,OK,2024-01-31
2024-02-29,153.365,OK,2024-02-29
2024-03-29,153.0345,OK,2024-03-31
2024-04-30,153.5853,OK,2024-04-30
2024-05-31,154.1362,OK,2024-05-31
2024-06-28,155.7889,OK,2024-06-30
2024-07-31,157.2212,OK,2024-07-31
2024-08-30,157.111,OK,2024-08-31
2024-09-30,157.8822,OK,2024-09-30
2024-10-31,159.2043,OK,2024-10-31
2024-11-29,159.2043,OK,2024-11-30
2024-12-31,158.3229,OK,2024-12-31
2025-01-31,157.772,OK,2025-01-31
2025-02-28,157.3313,OK,2025-02-28
2025-03-31,157.5517,OK,2025-03-31
2025-04-30,157.8,OK,2025-04-30
2025-05-30,158.2,OK,2025-05-31
2025-06-30,159.1,OK,2025-06-30
2025-07-31,159.5,OK,2025-07-31
2025-08-29,160.2,OK,2025-08-31
2025-09-30,160.8,OK,2025-09-30
2025-10-31,161.5,OK,2025-10-31
2025-11-28,161.9,OK,2025-11-30
2025-12-31,162.4,OK,2025-12-31
2026-01-30,162.9,OK,2026-01-31
2026-02-27,163.4,OK,2026-02-28
2026-03-31,163.9,OK,2026-03-31
2026-04-30,164.5,OK,2026-04-30
